Symbol,Name,Sector,Tariff_Sensitivity,Tariff_Alerts,Tariff_Impact_Score,Trend_Score,Momentum_Score,Volatility_Score,Signal_Score,Risk_Reward,Technical_Score,Volatility_Component,Momentum_Component,Volume_Component,Alert_Component,Movement_Score,Probability_15pct_Move,Composite_Score,Rank
MIN.AX,Mineral Resources,Materials,0.8,0,0.8,0.0,0.0,3.0,0.0,-0.5168870877321312,3.0,0,1.9907074063411723,0.6071779975056288,1.1,3.697885403846801,0.3697885403846801,2.61915416153872,1.0
S32.AX,South32,Materials,0.8,0,0.8,0.0,0.0,3.0,0.0,-0.4476448807818575,3.0,0,1.447762713462741,0.873490961590542,1.1,3.421253675053283,0.3421253675053283,2.5085014700213133,2.0
ELD.AX,Elders,Other,0.5,0,0.5,0.0,0.0,2.0,0.0,-0.5205076157568626,2.0,0,1.2650733681738588,1.0,1.2000000000000002,3.465073368173859,0.3465073368173859,2.1360293472695435,3.0
RMD.AX,ResMed,Healthcare,0.4,0,0.4,0.0,0.5,0.0,2.0,-0.6476800905996698,2.5,0,0.34815050317803325,1.0,1.2000000000000002,2.548150503178033,0.2548150503178033,1.8892602012712132,4.0
BHP.AX,BHP Group,Materials,0.7,0,0.7,0.0,0.0,1.0,0.0,-0.5936616728028419,1.0,0,0.9613671086482604,1.0,1.1,3.0613671086482603,0.306136710864826,1.7345468434593043,5.0
BGA.AX,Bega Cheese,Other,0.5,0,0.5,0.0,1.0,1.0,0.0,-0.9742421537263828,2.0,0,0.5924148810253923,1.0,0.7000000000000001,2.2924148810253926,0.22924148810253925,1.6669659524101572,6.0
FMG.AX,Fortescue Metals,Materials,0.9,0,0.9,0.0,0.0,2.0,0.0,-0.5719009496778041,2.0,0,0.6147689531619356,0.27362807859919025,0.7000000000000001,1.5883970317611258,0.15883970317611257,1.5053588127044504,7.0
A2M.AX,A2 Milk,Consumer Staples,0.8,0,0.8,1.0,0.0,2.0,0.0,1.9120885771610971,3.0,0,0.060786341748594465,0.244661420125601,0.30000000000000004,0.6054477618741956,0.06054477618741956,1.382179104749678,8.0
TWE.AX,Treasury Wine Estates,Consumer Staples,0.9,0,0.9,0.0,0.0,1.0,0.0,-0.431183273317051,1.0,0,0.4739648857886116,0.6451000970720038,0.8,1.9190649828606154,0.19190649828606154,1.3376259931442462,9.0
RIO.AX,Rio Tinto,Materials,0.7,0,0.7,0.0,0.0,1.0,0.0,-0.9600137459015636,1.0,0,0.6218052395085023,0.6123664052581106,0.8,2.034171644766613,0.2034171644766613,1.3236686579066452,10.0
CSL.AX,CSL Limited,Healthcare,0.4,0,0.4,0.0,1.0,0.0,0.0,-0.875427840223532,1.0,0,0.5677769341329431,0.6745778070699053,0.5,1.7423547412028484,0.17423547412028484,1.1169418964811393,11.0
GNC.AX,GrainCorp,Other,0.5,0,0.5,0.0,0.0,0.0,0.0,-0.6772760213765107,0.0,0,0.5371898704202533,0.9165902577174674,0.8,2.2537801281377208,0.22537801281377207,1.0515120512550884,12.0
COH.AX,Cochlear,Healthcare,0.4,0,0.4,0.0,0.5,0.0,-2.0,-0.8379942963492093,-1.5,0,0.4287888866658028,0.5533125047508023,1.2000000000000002,2.182101391416605,0.21821013914166051,0.5428405565666422,13.0
STO.AX,Santos,Energy,0.5,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.8,0.8,0.08,0.4700000000000001,14.0
ORG.AX,Origin Energy,Energy,0.5,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.05,0.35,15.0
JHX.AX,James Hardie,Industrials,0.6,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.4,0.4,0.04,0.34,16.0
AMC.AX,Amcor,Industrials,0.6,0,0.6,0.0,0.5,0.0,-2.0,-0.8887939232294372,-1.5,0,0.4394259490079496,-0.4740992207702641,0.8,0.7653267282376855,0.07653267282376855,0.03613069129507429,17.0
